#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Triops cancriformis","Eukaryota;Animals;Other Animals","CAE01","SAMN05941954","PRJNA350380","GCA_020615345.1","Scaffold",114.976,31.2,"mitochondrion MT:CM036325.1","JAHZNP01",10020,0,"2021-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/615/345/GCA_020615345.1_EvoH_TcaCAE_1.0",
"Muntiacus muntjak","Eukaryota;Animals;Mammals","UTSW_UCB_Mm","SAMN11611925","PRJNA542135","GCA_008782695.1"," Chromosome",2573.53,41.7512,"chromosome 1:CM018501.1; chromosome 2:CM018502.1; chromosome 3_X:CM018503.1","VCEA01",25651,25737,"2019-10-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/782/695/GCA_008782695.1_UCB_Mmun_1.0",
"Dallia pectoralis","Eukaryota;Animals;Fishes","M12","SAMN15002830","PRJNA634624","GCA_016801195.1","Scaffold",855.499,42.7,,"JACXGL01",989749,0,"2021-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/195/GCA_016801195.1_ASM1680119v1",
"Pisaster ochraceus","Eukaryota;Animals;Other Animals","M0D055189C","SAMN11418684","PRJNA532896","GCA_010994315.1"," Chromosome",401.944,40.3559,"chromosome XXI:CM021546.1; chromosome XXII:CM021547.1; chromosome I:CM021526.1; chromosome II:CM021527.1; chromosome III:CM021528.1; chromosome IV:CM021529.1; chromosome V:CM021530.1; chromosome VI:CM021531.1; chromosome VII:CM021532.1; chromosome VIII:CM021533.1; chromosome IX:CM021534.1; chromosome X:CM021535.1; chromosome XI:CM021536.1; chromosome XII:CM021537.1; chromosome XIII:CM021538.1; chromosome XIV:CM021539.1; chromosome XV:CM021541.1; chromosome XVI:CM021542.1; chromosome XVII:CM021543.1; chromosome XVIII:CM021544.1; chromosome XIX:CM021540.1; chromosome XX:CM021545.1","JAAFGO01",1844,0,"2020-02-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/994/315/GCA_010994315.1_ASM1099431v1",
"Antheraea pernyi","Eukaryota;Animals;Insects","","SAMN05890599","PRJNA347491","GCA_015888305.1","Scaffold",786.985,36.1,,"MNPI01",72727,0,"2020-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/888/305/GCA_015888305.1_AP_1.0",
"Chanos chanos","Eukaryota;Animals;Fishes","","SAMEA5159473","PRJEB33882","GCA_902362185.1"," Chromosome",656.929,41.5793,"chromosome 1:NC_044495.1/LR697106.1; chromosome 2:NC_044496.1/LR697107.1; chromosome 3:NC_044497.1/LR697108.1; chromosome 4:NC_044498.1/LR697109.1; chromosome 5:NC_044499.1/LR697110.1; chromosome 6:NC_044500.1/LR697111.1; chromosome 7:NC_044501.1/LR697112.1; chromosome 8:NC_044502.1/LR697113.1; chromosome 9:NC_044503.1/LR697114.1; chromosome 10:NC_044504.1/LR697115.1; chromosome 11:NC_044505.1/LR697116.1; chromosome 12:NC_044506.1/LR697117.1; chromosome 13:NC_044507.1/LR697118.1; chromosome 14:NC_044508.1/LR697119.1; chromosome 15:NC_044509.1/LR697120.1; chromosome 16:NC_044510.1/LR697121.1; mitochondrion MT:NC_004693.1/","CABIVN01",31,29908,"2019-08-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/362/185/GCA_902362185.1_fChaCha1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/362/185/GCF_902362185.1_fChaCha1.1"
"Muntiacus crinifrons","Eukaryota;Animals;Mammals","NWPU-IOZ-01","SAMN15339010","PRJNA640966","GCA_020276665.1"," Chromosome",2489.5,41.5652,"chromosome 1:CM035237.1; chromosome 2:CM035238.1; chromosome 3:CM035239.1; chromosome 4:CM035240.1","JAGTXS01",836,0,"2021-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/276/665/GCA_020276665.1_ASM2027666v1",
"Amia calva","Eukaryota;Animals;Fishes","Calvin","SAMN07977036","PRJNA417081","GCA_017591415.1"," Chromosome",831.02,40.6192,"chromosome 1:CM030121.1; chromosome 2:CM030122.1; chromosome 3:CM030123.1; chromosome 4:CM030124.1; chromosome 5:CM030125.1; chromosome 6:CM030126.1; chromosome 7:CM030127.1; chromosome 8:CM030128.1; chromosome 9:CM030129.1; chromosome 10:CM030130.1; chromosome 11:CM030131.1; chromosome 12:CM030132.1; chromosome 13:CM030133.1; chromosome 14:CM030134.1; chromosome 15:CM030135.1; chromosome 16:CM030136.1; chromosome 17:CM030137.1; chromosome 18:CM030138.1; chromosome 19:CM030139.1; chromosome 20:CM030140.1; chromosome 21:CM030141.1; chromosome 22:CM030142.1; chromosome 23:CM030143.1","PESF01",1958,0,"2021-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/591/415/GCA_017591415.1_AmiCal1",
"Acipenser transmontanus","Eukaryota;Animals;Fishes","batch67_ind68","SAMN20849129","PRJNA755998","GCA_020113195.1","Scaffold",860.366,38.2,,"JAIUCX01",359947,0,"2021-09-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/113/195/GCA_020113195.1_MU_Atrans_1.0",
"Sphenodon punctatus","Eukaryota;Animals;Reptiles","mauimua-1","SAMN08038466","PRJNA418887","GCA_003113815.1","Scaffold",4272.21,0,,"QEPC01",16536,0,"2018-05-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/113/815/GCA_003113815.1_ASM311381v1",
"Erpetoichthys calabaricus","Eukaryota;Animals;Fishes","","SAMEA104026374","PRJEB31579","GCA_900747795.2"," Chromosome",3811.04,40.1003,"chromosome 1:NC_041394.1/LR536432.1; chromosome 2:NC_041395.1/LR536433.1; chromosome 3:NC_041396.1/LR536434.1; chromosome 4:NC_041397.1/LR536435.1; chromosome 5:NC_041398.1/LR536436.1; chromosome 6:NC_041399.1/LR536437.1; chromosome 7:NC_041400.1/LR536438.1; chromosome 8:NC_041401.1/LR536439.1; chromosome 9:NC_041402.1/LR536440.1; chromosome 10:NC_041403.1/LR536441.1; chromosome 11:NC_041404.1/LR536442.1; chromosome 12:NC_041405.1/LR536443.1; chromosome 13:NC_041406.1/LR536444.1; chromosome 14:NC_041407.1/LR536445.1; chromosome 15:NC_041408.1/LR536446.1; chromosome 16:NC_041409.1/LR536447.1; chromosome 17:NC_041410.1/LR536448.1; chromosome 18:NC_041411.1/LR536449.1; mitochondrion MT:NC_005251.1/","CAADRL01",1885,35684,"2019-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/747/795/GCA_900747795.2_fErpCal1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/747/795/GCF_900747795.1_fErpCal1.1"
"Eschrichtius robustus","Eukaryota;Animals;Mammals","ER-14-168","SAMN06837692","PRJNA384396","GCA_002189225.1","Scaffold",2849.45,30.7,,"NIPP01",57203,0,"2017-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/189/225/GCA_002189225.1_ASM218922v1",
"Kogia breviceps","Eukaryota;Animals;Mammals","BS64","SAMN07678126","PRJNA399466","GCA_004363705.1","Scaffold",2759.7,41.9,,"RJWL01",1252072,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/705/GCA_004363705.1_KogBre_v1_BIUU",
"Monodon monoceros","Eukaryota;Animals;Mammals","NGI","SAMN10872456","PRJNA542700","GCA_005190385.2","Scaffold",2355.57,41.3,"mitochondrion MT:CM016494.1","SIHG01",6972,45047,"2019-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/190/385/GCA_005190385.2_NGI_Narwhal_1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/190/385/GCF_005190385.1_NGI_Narwhal_1"
"Phocoena phocoena","Eukaryota;Animals;Mammals","BS71","SAMN07678060","PRJNA399454","GCA_004363495.1","Scaffold",2701.01,41.8,,"RJWQ01",1331158,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/495/GCA_004363495.1_PhoPho_v1_BIUU",
"Sebastes schlegelii","Eukaryota;Animals;Fishes","QAU-006","SAMN10781578","PRJNA516036","GCA_014673565.1"," Chromosome",848.025,40.9412,"chromosome 1:CM025825.1; chromosome 2:CM025826.1; chromosome 3:CM025827.1; chromosome 4:CM025828.1; chromosome 5:CM025829.1; chromosome 6:CM025830.1; chromosome 7:CM025831.1; chromosome 8:CM025832.1; chromosome 9:CM025833.1; chromosome 10:CM025834.1; chromosome 11:CM025835.1; chromosome 12:CM025836.1; chromosome 13:CM025837.1; chromosome 14:CM025838.1; chromosome 15:CM025839.1; chromosome 16:CM025840.1; chromosome 17:CM025841.1; chromosome 18:CM025842.1; chromosome 19:CM025843.1; chromosome 20:CM025844.1; chromosome 21:CM025845.1; chromosome 22:CM025846.1; chromosome 23:CM025847.1; chromosome 24:CM025848.1","VHQL01",1663,0,"2020-08-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/673/565/GCA_014673565.1_ASM1467356v1",
"Mola mola","Eukaryota;Animals;Fishes","MOLMO","SAMN04335856","PRJNA305960","GCA_001698575.1","Scaffold",639.452,41.2,,"MBDK01",5552,0,"2016-08-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/575/GCA_001698575.1_ASM169857v1",
"Anthoceros angustus","Eukaryota;Plants;Land Plants","","SAMN11775617","PRJNA543716","GCA_010909165.1","Scaffold",119.349,49.7,,"VJWM01",289,0,"2020-02-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/909/165/GCA_010909165.1_ASM1090916v1",
"Taenia asiatica","Eukaryota;Animals;Flatworms","TASYD01","SAMN04230713","PRJNA299871","GCA_001693035.2","Scaffold",168.679,42.1,,"LWMJ02",6900,0,"2016-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/035/GCA_001693035.2_Taenia_asiatica_TASYD01_v1",
"Anseranas semipalmata","Eukaryota;Animals;Birds","B10K-DU-001-57","SAMN12253809","PRJNA545868","GCA_013399115.1","Scaffold",1131.43,41.2,,"VXAA01",11789,14223,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/399/115/GCA_013399115.1_ASM1339911v1",
"Haliotis rubra","Eukaryota;Animals;Other Animals","DU_JTF1","SAMN09981888","PRJNA801670","GCA_003918875.1","Scaffold",1378.28,40.5,"mitochondrion MT:NC_005940.1/","QXJH01",2855,43422,"2018-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/918/875/GCA_003918875.1_ASM391887v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/918/875/GCF_003918875.1_ASM391887v1"
"Philaenus spumarius","Eukaryota;Animals;Insects","PSPU_08","SAMN13900937","PRJNA602656","GCA_018207615.1","Scaffold",2760.69,30.8,,"JAGFPH01",237480,0,"2021-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/207/615/GCA_018207615.1_Pspu_JIC_v1.0",
"Myxocyprinus asiaticus","Eukaryota;Animals;Fishes","MX2","SAMN19774990","PRJNA739167","GCA_019703515.1"," Chromosome",2581.06,39.046,"chromosome 1:CM033842.1; chromosome 2:CM033843.1; chromosome 3:CM033844.1; chromosome 4:CM033845.1; chromosome 5:CM033846.1; chromosome 6:CM033847.1; chromosome 7:CM033848.1; chromosome 8:CM033849.1; chromosome 9:CM033850.1; chromosome 10:CM033851.1; chromosome 11:CM033852.1; chromosome 12:CM033853.1; chromosome 13:CM033854.1; chromosome 14:CM033855.1; chromosome 15:CM033856.1; chromosome 16:CM033857.1; chromosome 17:CM033858.1; chromosome 18:CM033859.1; chromosome 19:CM033860.1; chromosome 20:CM033861.1; chromosome 21:CM033862.1; chromosome 22:CM033863.1; chromosome 23:CM033864.1; chromosome 24:CM033865.1; chromosome 25:CM033866.1; chromosome 26:CM033867.1; chromosome 27:CM033868.1; chromosome 28:CM033869.1; chromosome 29:CM033870.1; chromosome 30:CM033871.1; chromosome 31:CM033872.1; chromosome 32:CM033873.1; chromosome 33:CM033874.1; chromosome 34:CM033875.1; chromosome 35:CM033876.1; chromosome 36:CM033877.1; chromosome 37:CM033878.1; chromosome 38:CM033879.1; chromosome 39:CM033880.1; chromosome 40:CM033881.1; chromosome 41:CM033882.1; chromosome 42:CM033883.1; chromosome 43:CM033884.1; chromosome 44:CM033885.1; chromosome 45:CM033886.1; chromosome 46:CM033887.1; chromosome 47:CM033888.1; chromosome 48:CM033889.1; chromosome 49:CM033890.1; chromosome 50:CM033891.1","JAIGOD01",1067,0,"2021-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/703/515/GCA_019703515.1_MX_HiC_50CHRs.fa",
"Shinisaurus crocodilurus","Eukaryota;Animals;Reptiles","GXDGS128","SAMN19072228","PRJNA726336","GCA_021292165.1"," Chromosome",2190,44.8744,"chromosome 1:CM037876.1; chromosome 2:CM037877.1; chromosome 3:CM037878.1; chromosome 4:CM037879.1; chromosome 5:CM037880.1; chromosome 6:CM037881.1; chromosome 7:CM037882.1; chromosome 8:CM037883.1; chromosome 9:CM037884.1; chromosome 10:CM037885.1; chromosome 11:CM037886.1; chromosome 12:CM037887.1; chromosome 13:CM037888.1; chromosome 14:CM037889.1; chromosome 15:CM037890.1; chromosome 16:CM037891.1","JAHFWL01",1553,0,"2021-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/165/GCA_021292165.1_IOZ_Scro_1.0",
"Rhinatrema bivittatum","Eukaryota;Animals;Amphibians","","SAMEA104387956","PRJEB32111","GCA_901001135.1"," Chromosome",5319.24,44.4385,"chromosome 1:NC_042615.1/LR584387.1; chromosome 2:NC_042616.1/LR584388.1; chromosome 3:NC_042617.1/LR584389.1; chromosome 4:NC_042618.1/LR584390.1; chromosome 5:NC_042619.1/LR584391.1; chromosome 6:NC_042620.1/LR584392.1; chromosome 7:NC_042621.1/LR584393.1; chromosome 8:NC_042622.1/LR584394.1; chromosome 9:NC_042623.1/LR584395.1; chromosome 10:NC_042624.1/LR584396.1; chromosome 11:NC_042625.1/LR584397.1; chromosome 12:NC_042626.1/LR584398.1; chromosome 13:NC_042627.1/LR584399.1; chromosome 14:NC_042628.1/LR584400.1; chromosome 15:NC_042629.1/LR584401.1; chromosome 16:NC_042630.1/LR584402.1; chromosome 17:NC_042631.1/LR584403.1; chromosome 18:NC_042632.1/LR584404.1; chromosome 19:NC_042633.1/LR584405.1; mitochondrion MT:NC_006303.1/","CAAJIB01",1330,49282,"2019-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/001/135/GCA_901001135.1_aRhiBiv1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/001/135/GCF_901001135.1_aRhiBiv1.1"
"Anguilla marmorata","Eukaryota;Animals;Fishes","","SAMEA5568835","PRJEB32187","GCA_901111315.1","Scaffold",882.007,43.3,,"CAAKNA01",38756,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/315/GCA_901111315.1_Anguilla_marmorata_assembly",
"Anguilla megastoma","Eukaryota;Animals;Fishes","","SAMEA5568836","PRJEB32187","GCA_901111305.1","Scaffold",877.766,43.2,,"CAAKMX01",40052,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/305/GCA_901111305.1_Anguilla_megastoma_assembly",
"Anguilla obscura","Eukaryota;Animals;Fishes","","SAMEA5568837","PRJEB32187","GCA_901111295.1","Scaffold",882.39,43.4,,"CAAKMZ01",43284,0,"2020-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/111/295/GCA_901111295.1_Anguilla_obscura_assembly",
"Trachurus trachurus","Eukaryota;Animals;Fishes","","SAMEA7524396","PRJEB42172","GCA_905171665.2"," Chromosome",801.244,41.9451,"chromosome 1:LR991628.1; chromosome 2:LR991651.1; chromosome 3:LR991630.1; chromosome 4:LR991635.1; chromosome 5:LR991633.1; chromosome 6:LR991634.1; chromosome 7:LR991638.1; chromosome 8:LR991642.1; chromosome 9:LR991632.1; chromosome 10:LR991631.1; chromosome 11:LR991641.1; chromosome 12:LR991645.1; chromosome 13:LR991629.1; chromosome 14:LR991640.1; chromosome 15:LR991643.1; chromosome 16:LR991639.1; chromosome 17:LR991637.1; chromosome 18:LR991646.1; chromosome 19:LR991650.1; chromosome 20:LR991648.1; chromosome 21:LR991636.1; chromosome 22:LR991644.1; chromosome 23:LR991649.1; chromosome 24:LR991647.1; mitochondrion MT:LR991652.1","CAJIMH02",153,0,"2021-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/171/665/GCA_905171665.2_fTraTra1.2",
"Spinacia oleracea","Eukaryota;Plants;Land Plants","","SAMN05242642","PRJNA396054","GCA_002007265.1","Scaffold",869.946,38.3997,"plastid Pltd:NC_002202.1/","LZYP01",78263,32794,"2017-02-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/265/GCA_002007265.1_ASM200726v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/265/GCF_002007265.1_ASM200726v1"
"Colobus guereza","Eukaryota;Animals;Mammals","KIZ-2021_5","SAMN23575336","PRJNA785018","GCA_021498455.1"," Chromosome",2963.34,41.0389,"linkage group LG01:CM038414.1; linkage group LG02:CM038415.1; linkage group LG03:CM038416.1; linkage group LG04:CM038417.1; linkage group LG05:CM038418.1; linkage group LG06:CM038419.1; linkage group LG07:CM038420.1; linkage group LG08:CM038421.1; linkage group LG09:CM038422.1; linkage group LG10:CM038423.1; linkage group LG11:CM038424.1; linkage group LG12:CM038425.1; linkage group LG13:CM038426.1; linkage group LG14:CM038427.1; linkage group LG15:CM038428.1; linkage group LG16:CM038429.1; linkage group LG17:CM038430.1; linkage group LG18:CM038431.1; linkage group LG19:CM038432.1; linkage group LG20:CM038433.1; linkage group LG21:CM038434.1; linkage group LG22:CM038435.1","JAKFGS01",1657,0,"2022-01-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/498/455/GCA_021498455.1_ASM2149845v1",
"Montipora cactus","Eukaryota;Animals;Other Animals","","SAMD00186143","PRJDB8519","GCA_014634245.1","Scaffold",652.738,36.4,,"BLFO01",4925,0,"2020-09-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/634/245/GCA_014634245.1_Mcac_1.0",
"Megaptera novaeangliae","Eukaryota;Animals;Mammals","ASU/GRON-1","SAMN10585801","PRJNA509641","GCA_004329385.1","Scaffold",2265.79,38.6,,"RYZJ01",2558,0,"2019-03-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/329/385/GCA_004329385.1_megNov1",
"Balaenoptera bonaerensis","Eukaryota;Animals;Mammals","","SAMD00016608","PRJDB1465","GCA_000978805.1","Scaffold",2234.64,40.7,,"BAUQ01",421444,0,"2015-02-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/805/GCA_000978805.1_ASM97880v1",
"Pogona vitticeps","Eukaryota;Animals;Reptiles","","SAMEA2300447","PRJEB5206","GCA_900067755.1","Scaffold",1716.68,42.1,,"CEMB01",13749,38712,"2015-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/067/755/GCA_900067755.1_pvi1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/067/755/GCF_900067755.1_pvi1.1"
"Eubalaena japonica","Eukaryota;Animals;Mammals","BS61","SAMN07678124","PRJNA399464","GCA_004363455.1","Scaffold",2693.58,41.1,,"RJWP01",1353963,0,"2019-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/455/GCA_004363455.1_EubJap_v1_BIUU",
"Branta canadensis","Eukaryota;Animals;Birds","SJ_97","SAMN11031539","PRJNA524684","GCA_006130075.1","Scaffold",1153.39,42.2,,"SNRU01",14961,0,"2019-06-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/130/075/GCA_006130075.1_GSC_cangoose_1.0",
"Gavia stellata","Eukaryota;Animals;Birds","BGI_N328","SAMN02324832","PRJNA261843","GCA_000690875.1","Scaffold",1129.69,41.1001,"mitochondrion MT:NC_007007.1/","JJRM01",61831,15697,"2014-05-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/875/GCA_000690875.1_ASM69087v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/875/GCF_000690875.1_ASM69087v1"
"Choloepus didactylus","Eukaryota;Animals;Mammals","mChoDid1","SAMN12612024","PRJNA678727","GCA_015220235.1"," Chromosome",3214.7,40.1425,"chromosome 1:NC_051307.1/CM026690.1; chromosome 2:NC_051308.1/CM026691.1; chromosome 3:NC_051309.1/CM026692.1; chromosome 4:NC_051310.1/CM026693.1; chromosome 5:NC_051311.1/CM026694.1; chromosome 6:NC_051312.1/CM026695.1; chromosome 7:NC_051313.1/CM026696.1; chromosome 8:NC_051314.1/CM026697.1; chromosome 9:NC_051315.1/CM026698.1; chromosome 10:NC_051316.1/CM026699.1; chromosome 11:NC_051317.1/CM026700.1; chromosome 12:NC_051318.1/CM026701.1; chromosome 13:NC_051319.1/CM026702.1; chromosome 14:NC_051320.1/CM026703.1; chromosome 15:NC_051321.1/CM026704.1; chromosome 16:NC_051322.1/CM026705.1; chromosome 17:NC_051323.1/CM026706.1; chromosome 18:NC_051324.1/CM026707.1; chromosome 19:NC_051325.1/CM026708.1; chromosome 20:NC_051326.1/CM026709.1; chromosome 21:NC_051327.1/CM026710.1; chromosome 22:NC_051328.1/CM026711.1; chromosome 23:NC_051329.1/CM026712.1; chromosome 24:NC_051330.1/CM026713.1; chromosome 25:NC_051331.1/CM026714.1; chromosome 26:NC_051332.1/CM026715.1; chromosome 27:NC_051333.1/CM026716.1; chromosome X:NC_051334.1/CM026717.1; chromosome Y:NC_051335.1/CM026718.1; mitochondrion MT:NC_006924.1/CM026720.1","JADCNF01",146,54527,"2020-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/235/GCA_015220235.1_mChoDid1.pri","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/235/GCF_015220235.1_mChoDid1.pri"
"Alectura lathami","Eukaryota;Animals;Birds","B10K-DU-001-39","SAMN12253796","PRJNA545868","GCA_013399715.1","Scaffold",1043.22,41.5,,"VXAV01",37168,13399,"2020-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/399/715/GCA_013399715.1_ASM1339971v1",
"Melanogrammus aeglefinus","Eukaryota;Animals;Fishes","","SAMEA104602249","PRJEB25074","GCA_900291075.1","Scaffold",652.791,44.9,,"OLKM01",8420,0,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/291/075/GCA_900291075.1_MAEA_1",
"Scleropages formosus","Eukaryota;Animals;Fishes","","SAMEA4872123","PRJEB31995","GCA_900964775.1"," Chromosome",784.563,44.1613,"chromosome 1:NC_041806.1/LR584066.1; chromosome 2:NC_041807.1/LR584067.1; chromosome 3:NC_041808.1/LR584068.1; chromosome 4:NC_041809.1/LR584069.1; chromosome 5:NC_041810.1/LR584070.1; chromosome 6:NC_041811.1/LR584071.1; chromosome 7:NC_041812.1/LR584072.1; chromosome 8:NC_041813.1/LR584073.1; chromosome 9:NC_041814.1/LR584074.1; chromosome 10:NC_041815.1/LR584075.1; chromosome 11:NC_041816.1/LR584076.1; chromosome 12:NC_041817.1/LR584077.1; chromosome 13:NC_041818.1/LR584078.1; chromosome 14:NC_041819.1/LR584079.1; chromosome 15:NC_041820.1/LR584080.1; chromosome 16:NC_041821.1/LR584081.1; chromosome 17:NC_041822.1/LR584082.1; chromosome 18:NC_041823.1/LR584083.1; chromosome 19:NC_041824.1/LR584084.1; chromosome 20:NC_041825.1/LR584085.1; chromosome 21:NC_041826.1/LR584086.1; chromosome 22:NC_041827.1/LR584087.1; chromosome 23:NC_041828.1/LR584088.1; chromosome 24:NC_041829.1/LR584089.1; chromosome 25:NC_041830.1/LR584090.1; mitochondrion MT:NC_007012.1/","CAAHFQ01",72,47753,"2019-04-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/964/775/GCA_900964775.1_fSclFor1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/964/775/GCF_900964775.1_fSclFor1.1"
"Rousettus aegyptiacus","Eukaryota;Animals;Mammals","mRouAeg1","SAMN14734550","PRJNA665208","GCA_014176215.1","Scaffold",1893.6,40.2,"mitochondrion MT:CM024382.1","JACASE01",29,56391,"2020-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/176/215/GCA_014176215.1_mRouAeg1.p","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/176/215/GCF_014176215.1_mRouAeg1.p"
"Nisaetus nipalensis","Eukaryota;Animals;Birds","","SAMD00156789","PRJDB7805","GCA_012487455.1","Scaffold",1200.03,41.8,,"BJES01",38768,0,"2020-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/487/455/GCA_012487455.1_Nnipalensis_1.0",
"Leptotrombidium deliense","Eukaryota;Animals;Other Animals","UoL-UT","SAMN06473100","PRJNA377801","GCA_003675905.2","Scaffold",117.319,33.6,,"NCKV01",66710,14667,"2018-10-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/675/905/GCA_003675905.2_ASM367590v2",
"Merlangius merlangus","Eukaryota;Animals;Fishes","","SAMEA4028797","PRJEB12469","GCA_900323355.1","Scaffold",423.942,44.4,,"OOFH01",122642,0,"2018-03-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/323/355/GCA_900323355.1_ASM90032335v1",
"Cathartes aura","Eukaryota;Animals;Birds","BGI_N323","SAMN02319050","PRJNA212890","GCA_000699945.1","Scaffold",1152.57,41.1,,"JMFT01",104141,11361,"2014-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/945/GCA_000699945.1_ASM69994v1",
"Rangifer tarandus caribou","Eukaryota;Animals;Mammals","CA-31","SAMN19775459","PRJNA739179","GCA_019903745.1","Scaffold",2584.92,36.7,,"JAHWTM01",13341,0,"2021-09-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/903/745/GCA_019903745.1_ULRtarCaribou_2",
